Tamaño muestra,Tiempo[ms]
1,22350.2
2,23882.7
3,24243.1
4,24165.4
5,15901.9
6,25200.6
7,25381.6
8,23889.9
9,16862.3
10,17180
11,25233.1
12,26485.4
13,29324.5
14,26143
15,25937.5
16,25400.3
17,17370.4
18,16550.5
19,16814.4
20,17074.2
