Tamaño muestra,Tiempo[ms]
1,44306.6
2,39966.7
3,40186.2
4,40586.6
5,39608.9
6,39826
7,40791.6
8,43325.5
9,39868.7
10,40013.6
11,40002.2
12,39897.2
13,39725.8
14,40174
15,39812.3
16,40862.3
17,40303.7
18,39983.3
19,40873
20,40315.4
